IS,FS,Ecm,CS,dCS
mm,aa,01,0.5594,0.0007822
mm,aa,02,0.1399,0.0001903
mm,aa,03,0.06211,9.248e-05
mm,aa,06,0.01553,1.866e-05
mm,aa,10,0.005589,8.065e-06
mm,aa,15,0.002484,3.196e-06
mm,aa,30,0.0006209,7.465e-07
mm,ff,01,41.43,0.1128
mm,ff,02,10.8,0.03754
mm,ff,03,4.812,0.01553
mm,ff,06,1.214,0.00383
mm,ff,10,0.4415,0.0007813
mm,ff,15,0.1962,0.0006165
mm,ff,30,0.04899,0.0001916
mm,mmh,01,0.006664,7.513e-05
mm,mmh,02,0.002018,2.225e-05
mm,mmh,03,0.000634,7.614e-06
mm,mmh,06,5.617e-05,6.368e-07
mm,mmh,10,7.97e-06,6.778e-08
mm,mmh,15,1.595e-06,1.878e-08
mm,mmh,30,1.043e-07,9.295e-10
mm,mmhh,01,7.141e-06,8.177e-08
mm,mmhh,02,5.54e-06,6.069e-08
mm,mmhh,03,3.591e-06,2.814e-08
mm,mmhh,06,1.22e-06,7.892e-09
mm,mmhh,10,4.877e-07,3.441e-09
mm,mmhh,15,2.261e-07,1.243e-09
mm,mmhh,30,5.863e-08,4.016e-10
mm,mmz,01,0.07564,0.0005972
mm,mmz,02,0.04364,0.0002992
mm,mmz,03,0.02986,0.0001938
mm,mmz,06,0.01435,9.764e-05
mm,mmz,10,0.007592,5.729e-05
mm,mmz,15,0.004419,3.295e-05
mm,mmz,30,0.001728,7.504e-06
mm,zh,01,0.0128,1.837e-05
mm,zh,02,0.0031,4.785e-06
mm,zh,03,0.001369,2.146e-06
mm,zh,06,0.000341,5.388e-07
mm,zh,10,0.0001227,1.941e-07
mm,zh,15,5.451e-05,8.629e-08
mm,zh,30,1.363e-05,2.158e-08
mm,zz,01,0.1518,0.001742
mm,zz,02,0.05083,0.0005305
mm,zz,03,0.02635,0.0001946
mm,zz,06,0.008042,4.265e-05
mm,zz,10,0.0033,1.678e-05
mm,zz,15,0.001607,7.322e-06
mm,zz,30,0.0004578,2.143e-06
mm,vva,01,2.373,0.02222
mm,vva,02,2.702,0.03433
mm,vva,03,2.939,0.0258
mm,vva,06,3.105,0.0307
mm,vva,10,3.143,0.02046
mm,vva,15,3.193,0.02098
mm,vva,30,3.303,0.04161
mm,vvh,01,0.2121,0.001457
mm,vvh,02,0.3849,0.002082
mm,vvh,03,0.4962,0.003107
mm,vvh,06,0.6946,0.003231
mm,vvh,10,0.8424,0.007996
mm,vvh,15,0.9625,0.00755
mm,vvh,30,1.167,0.01889
mm,vvhh,01,9.224e-05,6.986e-07
mm,vvhh,02,0.0004051,3.022e-06
mm,vvhh,03,0.0007913,6.301e-06
mm,vvhh,06,0.001832,9.931e-06
mm,vvhh,10,0.002867,1.522e-05
mm,vvhh,15,0.004233,1.865e-05
mm,vvhh,30,0.006615,6.096e-05
mm,vvz,01,0.9474,0.005791
mm,vvz,02,1.688,0.01499
mm,vvz,03,2.169,0.02991
mm,vvz,06,3.089,0.02551
mm,vvz,10,3.787,0.02043
mm,vvz,15,4.338,0.02224
mm,vvz,30,5.17,0.05526
mm,ww,01,2.696,0.02145
mm,ww,02,0.9156,0.004553
mm,ww,03,0.4684,0.002628
mm,ww,06,0.1447,0.0007495
mm,ww,10,0.05929,0.0002442
mm,ww,15,0.02896,0.0001511
mm,ww,30,0.008301,5.19e-05
mm,za,01,0.4143,0.001116
mm,za,02,0.1031,0.0004223
mm,za,03,0.04554,0.000189
mm,za,06,0.01139,5.239e-05
mm,za,10,0.004105,2.072e-05
mm,za,15,0.001822,9.101e-06
mm,za,30,0.0004554,2.105e-06
